timesteps,total_reward,kl_divergence,entropy_loss,clip_fraction,step_reward,pipe_changes,cumulative_pipe_changes,cumulative_budget,pressure_deficit,demand_satisfaction,cost_of_intervention,simulation_success,weighted_cost,weighted_pd,weighted_demand,action_taken
28500,0.091328554,0.002761357,-0.4234155432321131,0.02392578125,0.09132855122873548,0,-614162.22218122,7.717450304031373,0.733754118773024,4809.870954698087,True,0.39807605161812076,0.2998190841503931,0.21539037651884085,83,0
28544,0.0,0.002761357,-0.4234155432321131,0.02392578125,0.0,0,-1002905.3903521028,0.0,1.0,4487.982388528625,True,0.39820480704458855,0.3,0.3,83,0
28600,0.998156,0.002761357,-0.4234155432321131,0.02392578125,0.99815600468723,0,9036246.491230253,0.0,1.0,4609.9882819251,True,0.39815600468723,0.3,0.3,83,0
28700,0.9981239,0.0024352246,-0.3359427415765822,0.03154296875,0.9981238808223927,0,4697648.034664748,0.0,1.0,4690.29794401834,True,0.3981238808223927,0.3,0.3,83,0
28800,0.998125,0.0024352246,-0.3359427415765822,0.03154296875,0.9981250214830519,0,3321202.322797494,0.0,1.0,4687.446292370442,True,0.39812502148305184,0.3,0.3,83,0
28900,0.9980515,0.0024352246,-0.3359427415765822,0.03154296875,0.998051515412389,0,2247948.528726847,0.0,1.0,4871.211469027604,True,0.398051515412389,0.3,0.3,83,0
29000,0.9980533,0.0024352246,-0.3359427415765822,0.03154296875,0.9980532997785012,0,187546.37006847077,0.0,1.0,4866.750553747238,True,0.3980532997785011,0.3,0.3,83,0
29100,0.099805586,0.0024352246,-0.3359427415765822,0.03154296875,0.09980558581892288,0,-951339.5346923049,0.0,1.0,4860.354526928215,True,0.39805585818922873,0.3,0.3,83,0
29132,0.0,0.0024352246,-0.3359427415765822,0.03154296875,0.0,0,-1002331.189472211,0.0,1.0,4703.813489624836,True,0.3981184746041501,0.3,0.3,83,0
29200,0.85400003,0.0024352246,-0.3359427415765822,0.03154296875,0.8540000049357311,0,10523245.49789846,61.00051630020142,0.5509534913020876,4616.305739316963,True,0.39815347770427323,0.2985948613247837,0.1572516659066742,83,0
29300,0.8538302,0.0024352246,-0.3359427415765822,0.03154296875,0.8538302227290779,0,6852289.68700664,67.86509883880615,0.5509081251344025,4609.395556045915,True,0.3981562417775817,0.29843673659077746,0.1572372443607189,83,0
29400,0.9980594,0.0024352246,-0.3359427415765822,0.03154296875,0.9980593913563733,0,2994201.009184173,0.0,1.0,4851.521609066513,True,0.3980593913563734,0.3,0.3,83,0
